subject_id,window_id,is_W,is_N1,is_N2,is_N3,is_R,trans_W_N1,trans_W_N2,trans_W_N3,trans_W_R,trans_N1_W,trans_N1_N2,trans_N1_N3,trans_N1_R,trans_N2_W,trans_N2_N1,trans_N2_N3,trans_N2_R,trans_N3_W,trans_N3_N1,trans_N3_N2,trans_N3_R,trans_R_W,trans_R_N1,trans_R_N2,trans_R_N3,trans_L_W,trans_W_L,FC6_mean,FC6_mean_abs,FC6_max,FC6_min,FC6_ptp,FC6_std,FC6_auc,FC6_latency_pos,POZ_mean,POZ_mean_abs,POZ_max,POZ_min,POZ_ptp,POZ_std,POZ_auc,POZ_latency_pos,C2_mean,C2_mean_abs,C2_max,C2_min,C2_ptp,C2_std,C2_auc,C2_latency_pos,F6_mean,F6_mean_abs,F6_max,F6_min,F6_ptp,F6_std,F6_auc,F6_latency_pos,PO8_mean,PO8_mean_abs,PO8_max,PO8_min,PO8_ptp,PO8_std,PO8_auc,PO8_latency_pos,Fp1_mean,Fp1_mean_abs,Fp1_max,Fp1_min,Fp1_ptp,Fp1_std,Fp1_auc,Fp1_latency_pos,P6_mean,P6_mean_abs,P6_max,P6_min,P6_ptp,P6_std,P6_auc,P6_latency_pos,FT10_mean,FT10_mean_abs,FT10_max,FT10_min,FT10_ptp,FT10_std,FT10_auc,FT10_latency_pos,CZ_mean,CZ_mean_abs,CZ_max,CZ_min,CZ_ptp,CZ_std,CZ_auc,CZ_latency_pos,FT8_mean,FT8_mean_abs,FT8_max,FT8_min,FT8_ptp,FT8_std,FT8_auc,FT8_latency_pos
20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,0.1165268898107714,0.7377973300652193,1.1646629854786332,-1.7263190436945453,2.8909820291731787,0.8656002549633852,0.04101588748167333,0.5759699624530665,0.5980403297242616,0.9468492159773372,1.689895195671727,-1.5729197368458223,3.262814932517549,0.8148564056611761,0.20973584444786236,0.5299123904881102,0.33083510598557886,0.5932492064022111,1.2919283535439459,-0.8122864768946574,2.104214830438603,0.5859523607200514,0.1156569834256658,0.497872340425532,0.08537684430306074,0.8406477462521176,1.1044722650822245,-2.1637742829069584,3.268246547989183,0.9975245705122612,0.03041061631887762,0.5389236545682103,0.0812725307803296,0.8344248829689177,1.080292158551568,-2.1957881283845033,3.2760802869360712,1.0010239121405984,0.02909115721391395,0.5158948685857323,-0.15770416787452948,0.6592985488690554,0.8174340000666105,-2.355824366263275,3.1732583663298852,0.9034359355233509,-0.05463674047544055,0.5399249061326659,0.1491908675469645,0.7809053078804972,0.8410939437718641,-1.9933403930793556,2.8344343368512197,0.8929290730957204,0.05275506850707101,0.5409261576971216,0.33153409489149566,0.9308935462009582,1.6127166791624783,-1.7873757575081841,3.400092436670662,0.9917285804180443,0.1165475228438731,0.532916145181477,-0.8074931701263799,0.8594591762486724,0.4493904756672726,-1.856468252430975,2.3058587280982477,0.6365011253857522,-0.2824349622070391,0.5939924906132668,0.6346664208177493,0.6985789729863097,1.5176301790921143,-0.5411573595519424,2.0587875386440566,0.47918134955184516,0.22195775556989572,0.2806007509386734
20,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,-0.05580252532728415,0.8968105369738467,1.2337853731588766,-2.0875472112146505,3.3213325843735273,1.0551935446358112,-0.01899560594055072,0.5148936170212768,0.6240561557657176,0.8451548907398548,1.7750930288581552,-1.4227450336976462,3.1978380625558014,0.7493473734301975,0.21851662630329988,0.6,0.05100946315398809,0.6582762275237847,1.795132423271922,-1.360039154529222,3.155171577801144,0.8412667401246486,0.018201559656148433,0.45682102628285365,0.16367009709979982,0.8037904354112329,1.1583358566620916,-1.9212007240036908,3.079536580665782,0.9239166015746183,0.058055072260900925,0.4728410513141427,0.09733347096824128,0.7379897313808479,0.8670254843070798,-1.9648525547181135,2.8318780390251934,0.8966085107272448,0.034860829683268424,0.4678347934918649,-0.15530013907687387,0.6241656758004115,0.8737823855150507,-2.1010613166530425,2.9748437021680934,0.8566758486260332,-0.05368529459661883,0.4748435544430539,0.11533986313061384,0.732796181956231,0.9712899123402962,-1.9026224291567846,2.8739123414970806,0.8757288284337847,0.04096402571613439,0.4748435544430539,0.5017690868774257,0.8858081154898658,1.5029801186323914,-1.8571965948035463,3.360176713435938,0.8791346025819101,0.1760357586145347,0.37571964956195253,-0.7071635737829801,0.876986876430209,0.4661250354772465,-1.9308044542125753,2.3969294896898217,0.8106214288905331,-0.2472594518739624,0.5479349186483105,0.44987748065518784,0.5993594150523531,1.5287335902919577,-0.5705711336773647,2.0993047239693223,0.6263717036726661,0.15741950141592614,0.47784730913642065
20,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,0.5303668224677397,0.684317684703474,1.6595234231682838,-0.5579867907620645,2.2175102139303484,0.7216430011760662,0.1857958257128844,0.45581977471839813,0.8164454545664109,1.114462724950549,1.958714266634001,-1.1040740546642345,3.0627883212982354,0.9325586656659671,0.285883484463312,0.36770963704630794,-0.08686199361645992,0.4999102915661682,1.084578325249883,-1.0242760440869334,2.1088543693368162,0.6026362916890768,-0.03015672829539795,0.4588235294117648,0.46993765456909403,0.9953635624426898,1.3113365665378958,-1.5899140205846805,2.9012505871225764,0.945788514032823,0.16506515958734877,0.497872340425532,0.3743450591503583,0.936510144429015,1.1604358687861196,-1.835882274743018,2.9963181435291375,0.9409536444436947,0.13167656434298913,0.5449311639549437,0.05992988111085964,0.7756321755192565,0.9918895950767894,-1.8662286972862676,2.858118292363057,0.9043167186703349,0.02158825567931842,0.4928660826032542,0.24183355429276382,0.7833798968033061,1.0994620615689674,-1.658231166294951,2.7576932278639186,0.8582054864292135,0.08519006623590004,0.4918648310387986,0.73260975805007,1.1792282570918178,2.030004056217263,-1.4045279406485194,3.4345319968657826,1.0271869012454857,0.25674739041926903,0.36470588235294127,-0.743176095677396,0.8285472360272071,0.27042126389540416,-1.5858312963710604,1.8562525602664646,0.7036619277377653,-0.25994325196368245,0.5829787234042554,0.042117233084963415,0.5880833730318725,1.0050219459728333,-0.8859911465790172,1.8910130925518507,0.6325900215463517,0.014844129796380084,0.4918648310387986
20,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,-0.574597019467623,0.7302578201533244,0.8257678014486045,-1.4799221377088583,2.305689939157463,0.5599230623697437,-0.2010331711094248,0.6,0.7670871107761316,1.0889220858774915,1.7967057744264103,-1.282879730446969,3.0795855048733793,0.91074466016847,0.26855542020644674,0.4548185231539425,0.32635155714235725,0.3722748593920582,0.9426215844268063,-0.3146939595198864,1.2573155439466928,0.3146997858627329,0.11391563899086905,0.46983729662077606,-0.141116231857152,0.5700287725431644,0.6228618830690283,-2.1237169185419633,2.7465788016109918,0.7746973125532296,-0.04866456062094508,0.5799749687108888,-0.1093240824984926,0.6135187457787832,0.6657772050341435,-2.1053502714764774,2.771127476510621,0.8140401018325294,-0.03747455593847429,0.4287859824780977,-0.4182683483160691,0.5191163332899378,0.46278004204506384,-2.0485315632828214,2.511311605327885,0.6785582615413909,-0.14578846480468843,0.5839799749687109,-0.14340866841059,0.5256306228545838,0.9597631344611862,-1.9973504280359342,2.9571135624971205,0.7692334412351934,-0.04975794935656113,0.5879849812265332,0.6123291351286034,1.0770727466863175,1.7447504180122062,-1.5252625564585578,3.270012974470764,0.9891289248564635,0.2146722715410697,0.4548185231539425,-0.5839777043143646,0.7353642684595108,0.6229841693286672,-1.3525216456659472,1.9755058149946145,0.5486738570103381,-0.20451037036833072,0.2505632040050063,-0.20066548590893166,0.43702573321740534,0.7573716177713649,-1.080836588795659,1.8382082065670238,0.4904512991891383,-0.07029208798029424,0.6
20,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0.7640588762633568,0.7646703347447156,2.0044794678563274,-0.040479658190123356,2.0449591260464506,0.5202745747688069,0.26737098953919725,0.38873591989987494,0.3394200194651449,0.7824984401021613,1.5630796618710903,-1.3324096055240306,2.8954892673951207,0.7740437713470029,0.11883912126425542,0.5969962453066333,-0.23799854582886434,0.715767182176785,1.2858044536294166,-1.6028046893497414,2.888609142979158,0.7917598160655406,-0.08388026116303376,0.26658322903629544,-0.026639499619743226,0.6807181053139499,0.9869672626559644,-1.8687422238901263,2.8557094865460906,0.8514560678513938,-0.008506247156309113,0.4548185231539425,-0.10988151568941451,0.6387204678077022,0.7881996728034374,-1.8981482520421473,2.6863479248455846,0.8424656984418557,-0.037654860146175764,0.446808510638298,-0.18858947211784688,0.6051526229171236,0.6459274948353554,-1.9895503539736357,2.635477848808991,0.8271549812403013,-0.06540113174988234,0.532916145181477,0.1745467685727356,0.7878086078324967,0.9212002282319086,-1.7428544939951318,2.6640547222270405,0.8698738596389453,0.06155513397146006,0.46182728410513146,-0.22440409405376605,0.47563841160371045,0.7745784360217968,-1.5676425782780166,2.342221014299813,0.6780311818154039,-0.07823424688934211,0.5969962453066333,-0.8762958924221704,0.8819627107596592,0.17274381308117448,-1.771250204364967,1.9439940174461414,0.551469273150058,-0.3066419443854632,0.6,-0.2461283759931706,0.45225753126310697,0.7058770472084,-1.463323377495785,2.169200424704185,0.5699602297983667,-0.08596647796366862,0.6
20,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,-0.6847641688354554,0.7189853990064734,0.21465808478672746,-1.7919749638477902,2.0066330486345176,0.5828404347060621,-0.23899688576073436,0.4848560700876096,0.2161010565538979,0.515416564239906,1.1438341674442727,-0.9339943573592593,2.077828524803532,0.5486652289523827,0.07527484062277093,0.5439299123904882,0.39797651736331446,0.8974762452617272,2.1871579903212295,-0.9648269854083001,3.1519849757295297,0.9880058673470735,0.1384200715890949,0.2996245306633292,-0.03673642691132045,0.9101666814186831,1.206512243325224,-2.053642013314199,3.260154256639423,1.075554324811969,-0.01230484373680471,0.4888610763454319,0.0006849163678259629,0.8761096304311867,1.2671302585365494,-2.0139575081623033,3.2810877666988527,1.0442126921556478,0.0008224126736900428,0.4928660826032542,-0.09180757970654278,0.7873315547383279,1.2039082224119877,-1.9663633214940537,3.1702715439060416,0.9866150748316512,-0.031557242782129985,0.48986232790988743,0.199318329562792,0.8938674697099351,1.2955756504669274,-1.6318747752972484,2.927450425764176,0.9623381682262679,0.07020477501644337,0.48986232790988743,-0.0018192973320774644,0.6355244041453412,1.1374064351669364,-1.9124957839502894,3.049902219117226,0.782068725514109,-0.0007831603649252686,0.6,-0.7523286291611299,0.8234750793502212,0.47696296303918656,-1.383691862871234,1.8606548259104205,0.5275367830248426,-0.26335611784851587,0.5949937421777223,0.5953114397010959,0.6740341606361835,1.6705986640947104,-1.050084741404941,2.7206834054996514,0.5212072914498598,0.20833183751387768,0.5939924906132668
20,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,0.6142098521572379,0.9738411461194335,1.8516873477428109,-0.994388533652267,2.8460758813950777,0.8803891732376555,0.21473477255807702,0.5419274092615771,0.35756253876229654,0.7251559620035337,1.387318955163199,-1.3358575108865565,2.7231764660497557,0.7576781834404613,0.12590591293766074,0.4968710888610764,-0.6390355094648555,0.9785513328553852,1.3507858603980127,-1.8121742950372968,3.1629601554353095,0.9229551774888591,-0.22425325902224036,0.26958698372966217,0.39659647275209164,1.0575216867133501,1.419520420697949,-1.6287537995122172,3.0482742202101663,1.0551531392594338,0.1394897831378069,0.47784730913642065,0.08223127776738473,0.9667449025153828,1.1521789903112567,-2.002934003316884,3.1551129936281406,1.0820080040713569,0.029358850696973554,0.5569461827284106,-0.08539750673159346,0.8693030700658538,1.1080565842151378,-2.0492144140624675,3.157270998277605,1.0238656127551549,-0.02967190507497028,0.5719649561952442,0.1268556443000811,0.8780978111944753,1.206097650732285,-1.844690134682575,3.05078778541486,0.9715004337119398,0.044426760797747,0.576971214017522,0.033874085703572844,0.7195177601698789,1.137777786936125,-1.892707965598379,3.0304857525345037,0.8763237331619032,0.012712316935796428,0.5008760951188986,-0.9334113875622186,0.9562786922925515,0.15986176458969426,-1.615751381386254,1.7756131459759483,0.5353155486237741,-0.32689033806402523,0.5939924906132668,-0.5118484972927622,0.8523619489361551,1.2363256069851314,-1.5276843920437309,2.764009999028862,0.818458719624522,-0.1799024279791818,0.5989987484355446
20,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,-0.5230704165970953,0.6369273806489697,0.4728172914622262,-1.5801028138769762,2.0529201053392025,0.6448307416692943,-0.1827972781065094,0.5219023779724656,0.8112892069969717,0.9776873351880159,1.9452696751588066,-0.8799540971876153,2.8252237723464217,0.7958143344078973,0.28334211224662964,0.5889862327909889,0.3585036538503901,0.4304112037525088,1.3269948181288915,-0.27946475142828764,1.6064595695571793,0.46648696723280664,0.1254710564208558,0.2876095118898624,0.09899194923944207,0.8874642981784898,1.1738006478432885,-1.7185439975193035,2.8923446453625923,1.0032337883439353,0.03485270485567041,0.5229036295369212,0.19643657309793136,0.9091171196391296,1.1841563652370404,-1.734428264973658,2.9185846302106984,0.9902938012217465,0.06902114838949612,0.453817271589487,0.043386424527365484,0.868886699428257,0.9917580288684889,-1.9721708206784019,2.9639288495468907,1.0043747024896545,0.015648098367758642,0.4508135168961202,0.18411217020228604,0.8826877619775476,0.9730165981894584,-1.8166283174444278,2.789644915633886,0.9613323531404855,0.06490117816126868,0.44881101376720905,0.7021595618337548,1.0219845847184181,2.1439400637560895,-1.1389651893907977,3.282905253146887,0.8700825464077165,0.2451345676604922,0.5989987484355446,-0.5952537628299985,0.821474522629738,0.583984246572795,-1.5323063673705883,2.1162906139433835,0.727984067325513,-0.20818448310358773,0.6,0.1208119766699804,0.5145372990551647,0.8230681736749215,-1.1166115194698676,1.939679693144789,0.5614017367342266,0.04250952211612903,0.5579474342928661
20,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.6868771018365009,0.7270431875696249,0.47413845318294007,-1.8002423831790222,2.274380836361962,0.6410696487157307,-0.2402447950967313,0.6,0.8797097754001251,1.0398183104704861,1.7128383599565133,-0.5718423673043388,2.2846807272608523,0.7637245851845955,0.3076764512378475,0.453817271589487,0.5251392570477106,0.6456032206054294,2.4202991372140974,-0.3921405521391181,2.8124396893532153,0.8427524238148176,0.1833144277172737,0.29361702127659584,-0.10095825851410954,0.893834366160349,0.9820903482429826,-2.290611372848118,3.2727017210911002,1.0714008546133322,-0.034952827984152765,0.47784730913642065,-0.23711254794999792,0.7321619799848033,0.713999650976058,-2.239709747519512,2.95370939849557,0.9608613887704902,-0.08249179117324335,0.5709637046307885,-0.5215756348533097,0.571986642155231,0.24321958499016533,-2.0659079418422874,2.309127526832453,0.7467415454588127,-0.18199444655295133,0.5729662077596998,-0.3088106302177916,0.5295510198943258,0.4519426068768507,-1.9245388473054765,2.3764814541823274,0.7721121608422462,-0.10749815591918388,0.4217772215269087,0.7990556181314062,1.0962561868101706,1.5284446720278306,-1.008492969781755,2.536937641809586,0.8451447267816115,0.2795300402998887,0.49987484355444317,-0.9027854186361117,0.9027854186361117,-0.013275961333454801,-1.587693824681558,1.5744178633481032,0.5039743323051666,-0.3157723082972806,0.5629536921151441,-0.49311464602005756,0.6144524276753466,0.29749087916245703,-1.5707267662107012,1.8682176453731583,0.5962464069028282,-0.1723593180011759,0.5629536921151441
20,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,-0.2938967908910172,0.8572526245372247,1.4247894047578744,-1.8542731511153523,3.2790625558732267,0.9835064636255739,-0.10323428474659051,0.5929912390488112,0.8657529692141891,0.8816292311353023,1.8456263112624214,-0.14992338508898462,1.9955496963514059,0.5749973900482878,0.3032076747559715,0.4377972465581978,0.32266712722072,0.7414781533051695,2.061386409446715,-0.7939591294758531,2.855345538922568,0.8697944760510209,0.11340421381965286,0.29561952440550693,-0.1156692074605527,0.9303449523913332,1.5679467461619885,-1.712108343944655,3.2800550901066434,1.071716897048453,-0.04061858610159785,0.5659574468085107,-0.28346249455278466,0.8188470824371179,1.0737582835195096,-1.7026458472093593,2.776404130728869,0.9352689704314693,-0.09905199825789157,0.5639549436795996,-0.5043163972966911,0.7296343908364101,0.579983085979567,-1.7036911068335778,2.283674192813145,0.7691303073892316,-0.17625599978349216,0.5839799749687109,-0.21149241756186277,0.692436271815786,0.8361495874855133,-1.7423722664261245,2.5785218539116377,0.8719032635136001,-0.07374967436384047,0.5879849812265332,0.8609408810834376,0.9099478998162068,1.8029845625821082,-0.21786352988662658,2.020848092468735,0.5861815507977121,0.30155817067116486,0.4548185231539425,-0.8687837380418728,0.8687837380418728,-0.22834685352446576,-1.452759366703835,1.2244125131793693,0.4137948588163894,-0.30365404600288515,0.513892365456821,-0.013971658046813726,0.2154160555716262,0.5117934162673802,-1.2858533779323285,1.7976467941997085,0.31136720730073414,-0.004410550157549278,0.5098873591989987
